,latitude,longitude,cities,countrycode,kmeans_label,db_label
0,25.77427,-80.19366,Miami,US,0,0
1,40.71427,-74.00596999999999,New York City,US,0,0
2,25.79065,-80.13005,Miami Beach,US,0,0
3,-8.053889999999999,-34.88111,Recife,BR,3,0
4,32.78306,-96.80667,Dallas,US,0,0
5,-14.833329999999998,-64.9,Trinidad,BO,3,0
6,29.763279999999998,-95.36327,Houston,US,0,0
8,33.749,-84.38798,Atlanta,US,0,0
10,25.82176,-80.24116,Brownsville,US,0,0
12,-31.5375,-68.53639,San Juan,AR,3,0
13,29.30135,-94.7977,Galveston,US,0,0
14,14.6042,120.9822,Manila,PH,1,1
15,10.69694,122.56443999999999,Iloilo,PH,1,1
16,34.05223,-118.24368,Los Angeles,US,0,0
18,28.53834,-81.37924,Orlando,US,0,0
21,27.94752,-82.45843,Tampa,US,0,0
22,53.24488,-3.13231,Flint,GB,2,2
23,39.29038,-76.61219,Baltimore,US,0,0
24,42.98339,-81.23304,London,CA,0,0
25,10.82302,106.62965,Ho Chi Minh City,VN,1,1
26,39.952329999999996,-75.16379,Philadelphia,US,0,0
27,52.976330000000004,-0.026639999999999997,Boston,GB,2,2
28,48.85341,2.3488,Paris,FR,2,2
29,9.89898,-84.00287,San Diego,CR,0,0
30,13.753979999999999,100.50144,Bangkok,TH,1,1
31,39.9075,116.39723000000001,Beijing,CN,1,1
32,-12.971110000000001,-38.51083,Salvador,BR,3,0
33,3.1412,101.68653,Kuala Lumpur,MY,1,1
34,16.80528,96.15611,Yangon,MM,1,1
35,30.438259999999996,-84.28073,Tallahassee,US,0,0
36,-31.427970000000002,-62.08266,San Francisco,AR,3,0
37,38.98067,-77.10025999999999,Bethesda,US,0,0
38,-19.266389999999998,146.80569,Townsville,AU,1,3
39,14.5832,121.0409,Mandaluyong City,PH,1,1
40,-36.61667,-64.28333,Santa Rosa,AR,3,0
41,13.68935,-89.18718,San Salvador,SV,0,0
42,35.15952,-84.87661,Cleveland,US,0,0
43,30.26715,-97.74306,Austin,US,0,0
44,-22.725279999999998,-47.64917,Piracicaba,BR,3,0
45,-12.04318,-77.02824,Lima,PE,3,0
46,43.700109999999995,-79.4163,Toronto,CA,0,0
49,-27.467940000000002,153.02809,Brisbane,AU,1,3
50,14.6937,-17.44406,Dakar,SN,2,-1
51,23.133020000000002,-82.38304000000001,Havana,CU,0,0
52,24.555239999999998,-81.78163,Key West,US,0,0
53,49.24966,-123.11934,Vancouver,CA,0,0
54,47.60621,-122.33207,Seattle,US,0,0
55,36.165890000000005,-86.78444,Nashville,US,0,0
56,17.727510000000002,-64.74698000000001,Saint Croix,VI,3,0
57,40.58526,-105.08442,Fort Collins,US,0,0
58,3.03667,101.44333,Klang,MY,1,1
59,14.640720000000002,-90.51326999999999,Guatemala City,GT,0,0
60,34.699259999999995,-86.74833000000001,Madison,US,0,0
