,headline,latitude,longitude,kmeans_label
0,Zika Outbreak Hits Miami,25.77427,-80.19366,3
1,First Case of Zika in Miami Beach,25.79065,-80.13005,3
2,Brownsville teen contracts Zika virus,25.82176,-80.24116,3
3,Orlando volunteers aid Zika research,28.53834,-81.37924,3
4,Tampa Bay Area Zika Case Count Climbs,27.94752,-82.45843,3
5,Tallahassee Doctors Discuss Zika Virus,30.438259999999996,-84.28073,3
6,Zika symtomps spotted in Key West,24.555239999999998,-81.78163,3
7,New Zika Case Confirmed in Sarasota County,27.33643,-82.53065,3
8,First Columbus Zika case,32.46098,-84.98770999999999,3
9,"Zika Patient in Seminole, Florida",27.83975,-82.79120999999999,3
10,Can Zika make it here to Vero Beach?,27.638640000000002,-80.39726999999999,3
11,Zika case reported in Jupiter,26.93422,-80.09421,3
12,Zika virus confirmed in Westchester,25.754820000000002,-80.32727,3
13,More Zika patients reported in Pensacola,30.42131,-87.21691,3
14,Outbreak of Zika in Panama City,30.15946,-85.65983,3
15,Zika Arrives in North Miami,25.89009,-80.18670999999999,3
16,Zika battle outlined at Valdosta meeting,30.833340000000003,-83.28031999999999,3
17,Zika case reported in Coral Gables,25.72149,-80.26838000000001,3
18,Zika arrives in West Palm Beach,26.71534,-80.05337,3
19,Zika spreads to Daytona Beach,29.21081,-81.02283,3
20,Zika Outbreak in Pinewood,25.86898,-80.21699,3
21,Zika symptoms spotted in Hollywood,26.0112,-80.14949,3
22,Zika Spreads to Palm Beach Gardens,26.823390000000003,-80.13865,3
23,Outbreak of Zika in Palm Springs,26.6359,-80.09615,3
24,Zika in Tamarac!,26.21286,-80.24977,3
25,Zika symptoms spotted in Bonita Springs,26.339809999999996,-81.7787,3
26,More Zika patients reported in Fort Myers,26.621679999999998,-81.84059,3
27,Hallandale Beach a Victim of Zika Outbreak,25.9812,-80.14838,3
28,Zika arrives in Boca Raton,26.358690000000003,-80.0831,3
29,Bradenton Experiences Zika Troubles  ,27.498929999999998,-82.57481999999999,3
30,Zika spreads to Kissimmee,28.304679999999998,-81.41667,3
31,Zika reported in Fort Pierce,27.446709999999996,-80.32561,3
32,Zika spreads to Winter Park,28.6,-81.33924,3
33,Outbreak of Zika in Leesburg,28.81082,-81.87786,3
34,Stony Brook University experts discuss Zika virus,28.073890000000002,-82.43902,3
35,Miami resident suggests Zika precautions,25.77427,-80.19366,3
36,More Zika patients reported in Lakeland,28.03947,-81.9498,3
37,Zika Outbreak in South Miami,25.77427,-80.19366,3
38,Zika spreads to Plant City,28.01888,-82.11469,3
39,Zika Reported in North Miami Beach,25.93315,-80.16255,3
40,Zika Troubles come to Delray Beach,26.46146,-80.07282,3
41,Zika symptoms spotted in Boynton Beach,26.52535,-80.06643000000001,3
42,Zika virus reported in Cleveland,35.15952,-84.87661,2
43,Nashville takes precautions against Zika,36.165890000000005,-86.78444,2
44,Madison lab developing vaccine against Zika virus [The Wisconsin State Journal],34.699259999999995,-86.74833000000001,2
45,First Zika Case in Cincinnati,39.127109999999995,-84.51439,2
46,Zika cases concern Charlotte residents,35.227090000000004,-80.84313,2
47,Zika case confirmed in Lorain,41.45282,-82.18236999999999,2
48,More Zika patients reported in Carrollton,33.58011,-85.07661,2
49,Zika investigators coming to Mankato,44.15906,-94.00915,2
50,Could Zika Reach New York City?,40.71427,-74.00596999999999,0
51,Baltimore plans for Zika virus,39.29038,-76.61219,0
52,"Zika in Belmont, Belmont worry",42.39593,-71.17867,0
53,Zika Strikes St. Petersburg,37.22793,-77.40193000000001,0
54,Erie County sets Zika traps,42.129220000000004,-80.08506,0
55,Zika virus case reported in Rockland,42.13066,-70.91615999999999,0
56,Dallas man comes down with case of Zika,32.78306,-96.80667,4
57,Zika Concerns are Spreading in Houston,29.763279999999998,-95.36327,4
58,More Zika patients reported in Austin,30.26715,-97.74306,4
59,Jacksonville man hit by Zika,34.8662,-92.11015,4
60,El Paso fighting Zika,31.75872,-106.48693,4
61,Spring break ruined by Zika in Fort Lauderdale,30.07994,-95.41716,4
62,Outbreak of Zika in Corpus Christi,27.80058,-97.39638000000001,4
63,Is Lafayette prepared to combat Zika?,30.224090000000004,-92.01984,4
64,Outbreak of Zika in Stephenville,32.2207,-98.20226,4
65,Zika Virus Detected in Lubbock,33.57786,-101.85517,4
66,Zika-carrying mosquitoes discovered in Ardmore,34.17426,-97.14363,4
67,Frisco Woman Tests Positive For Zika Virus,33.15067,-96.82361,4
68,Zika symptoms spotted in Arlington,32.735690000000005,-97.10807,4
69,Zika case reported in Abilene,32.44874,-99.73314,4
70,Zika Outbreak in Weslaco,26.15952,-97.99084,4
71,Zika only the latest mosquito-borne threat to New Orleans,29.95465,-90.07507,4
72,More Zika patients reported in Waco,31.549329999999998,-97.14667,4
73,Zika spreads to Lewisville,33.04623,-96.99417,4
74,Fort Hood Reports its First Zika Patient,31.134890000000002,-97.77561,4
75,More Zika patients reported in Fort Worth,32.72541,-97.32085,4
76,Zika Outbreak in Wichita Falls,33.913709999999995,-98.49339,4
77,"Seattle scientists get $500,000 grant to pursue Zika vaccine New 7:50 pm",47.60621,-122.33207,1
78,Escondido neighborhood to get sprayed for Zika virus,33.119209999999995,-117.08641999999999,1
79,BREAKING – Zika in Missoula,46.87215,-113.994,1
80,Zika Virus Arrives in Ontario,34.063340000000004,-117.65088999999999,1
81,Zika Virus Sparks 'International Concern',39.534909999999996,-119.75268999999999,1
82,Zika seminars in Yuma County,32.72532,-114.6244,1
