,latitude,longitude,cluster_label
0,42.230171,-71.530106,15
1,40.349457,-88.986137,7
2,25.77427,-80.19366,5
3,37.76521,-122.24164,22
4,31.054487,-97.563461,8
5,21.52536,-78.22579,5
6,21.52536,-78.22579,5
7,37.09024,-95.712891,3
8,36.116203,-119.618564,12
9,36.116203,-119.618564,12
10,42.230171,-71.530106,15
11,39.063946,-76.802101,1
12,47.538569,-90.290189,27
13,36.116203,-119.618564,12
14,42.230171,-71.530106,15
15,33.44838,-112.07404,20
16,42.230171,-71.530106,15
17,40.349457,-88.986137,7
18,21.52536,-78.22579,5
19,14.6982,121.1236,4
20,40.349457,-88.986137,7
21,32.78306,-96.80667,8
22,39.063946,-76.802101,1
23,32.71571,-117.16472,0
24,37.919479,-121.951543,22
25,36.116203,-119.618564,12
26,21.52536,-78.22579,5
27,31.054487,-97.563461,8
28,31.054487,-97.563461,8
29,36.116203,-119.618564,12
30,21.52536,-78.22579,5
31,42.230171,-71.530106,15
32,21.52536,-78.22579,5
33,31.054487,-97.563461,8
34,39.063946,-76.802101,1
35,22.40694,-79.96472,5
36,36.116203,-119.618564,12
37,42.230171,-71.530106,15
38,42.230171,-71.530106,15
39,36.116203,-119.618564,12
40,34.27834,-119.29317,0
41,40.150032,-111.862434,25
42,42.230171,-71.530106,15
43,42.230171,-71.530106,15
44,44.268543,-89.616508,27
45,31.054487,-97.563461,8
46,37.09024,-95.712891,3
47,36.116203,-119.618564,12
48,54.9,-1.51667,2
49,38.525182,-122.92611,22
50,42.230171,-71.530106,15
51,37.76521,-122.24164,22
52,36.116203,-119.618564,12
53,38.051817,-122.745974,22
54,36.116203,-119.618564,12
55,42.230171,-71.530106,15
56,31.054487,-97.563461,8
57,22.40694,-79.96472,5
58,40.349457,-88.986137,7
59,21.52536,-78.22579,5
60,42.230171,-71.530106,15
61,37.09024,-95.712891,3
62,47.60621,-122.33207,9
63,21.52536,-78.22579,5
64,33.95335,-117.39616,0
65,43.452492,-71.563896,15
66,42.230171,-71.530106,15
67,40.349457,-88.986137,7
68,36.116203,-119.618564,12
