,latitude,longitude,cluster_label
0,37.012488,-122.007205,24
1,42.165726,-74.948051,17
2,27.766279,-81.686783,1
3,31.054487,-97.563461,3
4,36.116203,-119.618564,0
5,33.856892,-80.945007,9
6,31.054487,-97.563461,3
7,36.116203,-119.618564,0
8,39.059811,-105.311104,10
9,32.78306,-96.80667,3
10,33.729828,-116.002239,15
11,40.590752,-77.209755,13
12,27.766279,-81.686783,1
13,47.400902,-121.490494,8
14,45.694454,-93.900192,2
15,27.766279,-81.686783,1
16,40.349457,-88.986137,7
17,36.116203,-119.618564,0
18,30.78963,-98.201187,3
19,31.054487,-97.563461,3
20,40.349457,-88.986137,7
21,30.325091,-98.941851,3
22,37.769337,-78.169968,28
23,35.630066,-79.806419,9
24,42.230171,-71.530106,5
25,38.250193,-78.009622,28
26,27.766279,-81.686783,1
27,38.051817,-122.745974,24
28,33.729828,-116.002239,15
29,40.349457,-88.986137,7
30,36.116203,-119.618564,0
31,39.318523,-75.507141,13
32,27.766279,-81.686783,1
33,47.400902,-121.490494,8
34,46.456558,-120.740145,8
35,27.766279,-81.686783,1
36,33.729828,-116.002239,15
37,42.230171,-71.530106,5
38,40.635045,-73.95064,17
39,40.349457,-88.986137,7
40,40.349457,-88.986137,7
41,31.054487,-97.563461,3
42,42.165726,-74.948051,17
43,27.766279,-81.686783,1
44,39.318523,-75.507141,13
45,33.729759,-111.431221,12
46,27.766279,-81.686783,1
47,43.326618,-84.536095,21
48,40.349457,-88.986137,7
49,42.230171,-71.530106,5
50,36.116203,-119.618564,0
51,42.230171,-71.530106,5
52,31.054487,-97.563461,3
53,30.100772,-97.310639,3
54,45.694454,-93.900192,2
55,37.769337,-78.169968,28
56,38.250193,-78.009622,28
57,31.054487,-97.563461,3
58,38.250193,-78.009622,28
59,42.230171,-71.530106,5
60,42.165726,-74.948051,17
61,33.729759,-111.431221,12
62,40.71427,-74.00597,17
63,36.228834,-118.781055,0
64,32.78306,-96.80667,3
65,27.766279,-81.686783,1
66,36.116203,-119.618564,0
67,34.05223,-118.24368,15
68,33.729759,-111.431221,12
69,36.116203,-119.618564,0
70,45.694454,-93.900192,2
71,37.727239,-123.032229,24
72,47.538569,-90.290189,19
73,42.230171,-71.530106,5
74,39.062032,-120.722718,24
75,34.358741,-119.133143,0
76,33.729759,-111.431221,12
77,37.09024,-95.712891,16
78,36.116203,-119.618564,0
79,36.116203,-119.618564,0
80,27.766279,-81.686783,1
81,42.230171,-71.530106,5
82,36.116203,-119.618564,0
83,40.349457,-88.986137,7
84,32.772119,-97.291224,3
85,40.349457,-88.986137,7
86,40.388783,-82.764915,25
87,42.230171,-71.530106,5
88,31.054487,-97.563461,3
89,40.71427,-74.00597,17
90,32.71571,-117.16472,15
91,40.71427,-74.00597,17
92,44.572021,-122.070938,22
93,41.680893,-71.51178,5
94,34.85722,-116.181197,15
95,40.349457,-88.986137,7
96,41.85003,-87.65005,7
97,36.116203,-119.618564,0
98,37.09024,-95.712891,16
99,27.766279,-81.686783,1
100,40.71427,-74.00597,17
101,42.230171,-71.530106,5
102,31.054487,-97.563461,3
103,45.694454,-93.900192,2
104,32.78306,-96.80667,3
105,45.694454,-93.900192,2
106,30.100772,-97.310639,3
107,31.054487,-97.563461,3
108,40.150032,-111.862434,18
109,31.054487,-97.563461,3
110,36.116203,-119.618564,0
111,27.766279,-81.686783,1
112,31.054487,-97.563461,3
113,30.061225,-98.029267,3
114,44.268543,-89.616508,19
115,33.44838,-112.07404,12
116,27.766279,-81.686783,1
117,42.230171,-71.530106,5
118,36.116203,-119.618564,0
119,40.349457,-88.986137,7
120,27.766279,-81.686783,1
121,37.647139,-121.912488,24
122,36.116203,-119.618564,0
123,45.694454,-93.900192,2
124,30.649082,-97.605065,3
125,38.313515,-117.055374,0
126,36.116203,-119.618564,0
127,27.766279,-81.686783,1
128,32.71571,-117.16472,15
129,27.766279,-81.686783,1
130,42.230171,-71.530106,5
131,43.456731,-78.792142,13
132,41.152686,-73.745753,17
133,31.054487,-97.563461,3
134,38.5266,-96.726486,16
135,48.070464,-121.936784,8
136,40.349457,-88.986137,7
137,37.09024,-95.712891,16
138,27.766279,-81.686783,1
139,32.71571,-117.16472,15
140,32.71571,-117.16472,15
141,27.766279,-81.686783,1
142,36.116203,-119.618564,0
143,36.116203,-119.618564,0
144,36.116203,-119.618564,0
145,31.054487,-97.563461,3
146,47.400902,-121.490494,8
147,31.054487,-97.563461,3
148,44.268543,-89.616508,19
149,27.766279,-81.686783,1
150,37.194806,-120.722802,24
151,31.054487,-97.563461,3
152,39.059811,-105.311104,10
153,36.116203,-119.618564,0
154,42.671553,-82.911456,21
155,38.313515,-117.055374,0
156,31.054487,-97.563461,3
157,27.766279,-81.686783,1
158,27.766279,-81.686783,1
159,37.769337,-78.169968,28
160,37.09024,-95.712891,16
161,39.849426,-86.258278,7
162,40.150032,-111.862434,18
163,31.054487,-97.563461,3
164,37.919479,-121.951543,24
165,32.71571,-117.16472,15
166,38.988877,-80.495477,25
167,31.169546,-91.867805,14
168,36.116203,-119.618564,0
169,42.230171,-71.530106,5
170,39.059811,-105.311104,10
171,40.150032,-111.862434,18
172,42.230171,-71.530106,5
173,38.456085,-92.288368,27
174,37.414672,-122.371546,24
175,42.230171,-71.530106,5
176,27.766279,-81.686783,1
177,37.66814,-84.670067,9
178,36.116203,-119.618564,0
179,40.349457,-88.986137,7
180,36.116203,-119.618564,0
181,47.400902,-121.490494,8
182,40.590752,-77.209755,13
183,36.116203,-119.618564,0
184,39.063946,-76.802101,13
185,40.349457,-88.986137,7
186,31.054487,-97.563461,3
187,47.400902,-121.490494,8
188,40.349457,-88.986137,7
189,42.230171,-71.530106,5
190,43.452492,-71.563896,5
191,36.116203,-119.618564,0
192,31.054487,-97.563461,3
193,39.059811,-105.311104,10
194,33.729828,-116.002239,15
195,38.250193,-78.009622,28
196,44.299782,-99.438828,23
197,27.766279,-81.686783,1
198,30.239513,-97.69127,3
199,39.318523,-75.507141,13
200,42.230171,-71.530106,5
201,32.78306,-96.80667,3
202,27.766279,-81.686783,1
203,31.054487,-97.563461,3
204,37.647139,-121.912488,24
205,61.370716,-152.404419,6
206,37.09024,-95.712891,16
207,40.71427,-74.00597,17
208,40.590752,-77.209755,13
209,27.766279,-81.686783,1
210,32.806671,-86.79113,20
211,36.333905,-89.485536,20
212,42.117952,-80.096386,25
213,31.054487,-97.563461,3
214,40.09497,-105.397691,10
215,36.116203,-119.618564,0
216,27.766279,-81.686783,1
217,37.919479,-121.951543,24
218,37.769337,-78.169968,28
219,32.806671,-86.79113,20
220,42.165726,-74.948051,17
221,32.772119,-97.291224,3
222,33.729759,-111.431221,12
223,47.400902,-121.490494,8
224,31.054487,-97.563461,3
225,40.349457,-88.986137,7
226,39.059811,-105.311104,10
227,36.116203,-119.618564,0
228,31.054487,-97.563461,3
229,44.002349,-102.823801,23
230,42.165726,-74.948051,17
231,34.85722,-116.181197,15
232,36.116203,-119.618564,0
233,38.829288,-76.84818,13
234,36.116203,-119.618564,0
235,25.61058,-80.497099,1
236,27.766279,-81.686783,1
237,42.230171,-71.530106,5
238,31.054487,-97.563461,3
239,42.230171,-71.530106,5
240,31.054487,-97.563461,3
241,45.694454,-93.900192,2
242,37.275089,-111.815329,18
243,44.299782,-99.438828,23
244,33.729759,-111.431221,12
245,36.116203,-119.618564,0
246,27.766279,-81.686783,1
247,37.769337,-78.169968,28
248,36.116203,-119.618564,0
249,35.747845,-86.692345,20
250,45.694454,-93.900192,2
251,40.349457,-88.986137,7
252,27.766279,-81.686783,1
253,42.230171,-71.530106,5
254,37.769337,-78.169968,28
255,36.116203,-119.618564,0
256,40.349457,-88.986137,7
257,37.09024,-95.712891,16
258,39.063946,-76.802101,13
259,41.597782,-72.755371,5
260,37.220695,-121.69051,24
261,38.267226,-121.939594,24
262,42.230171,-71.530106,5
263,30.061225,-98.029267,3
264,39.059811,-105.311104,10
265,47.400902,-121.490494,8
266,27.766279,-81.686783,1
267,39.063946,-76.802101,13
268,40.150032,-111.862434,18
269,39.059811,-105.311104,10
270,33.729828,-116.002239,15
271,40.349457,-88.986137,7
272,40.349457,-88.986137,7
273,39.059811,-105.311104,10
274,40.590752,-77.209755,13
275,28.77476,-96.001532,3
276,32.78306,-96.80667,3
277,30.649082,-97.605065,3
278,36.240107,-121.315572,24
279,34.05223,-118.24368,15
280,42.230171,-71.530106,5
281,30.325091,-98.941851,3
282,38.250193,-78.009622,28
283,27.903108,-82.739519,1
284,33.729759,-111.431221,12
285,36.116203,-119.618564,0
286,36.116203,-119.618564,0
287,36.116203,-119.618564,0
288,27.766279,-81.686783,1
289,27.766279,-81.686783,1
290,39.063946,-76.802101,13
291,36.116203,-119.618564,0
292,36.116203,-119.618564,0
293,42.230171,-71.530106,5
294,61.370716,-152.404419,6
295,27.766279,-81.686783,1
296,42.230171,-71.530106,5
297,31.054487,-97.563461,3
298,33.729828,-116.002239,15
299,40.590752,-77.209755,13
300,33.729759,-111.431221,12
301,40.349457,-88.986137,7
302,40.667883,-111.92424,18
303,31.054487,-97.563461,3
