,headline,latitude,longitude,kmeans_label
0,Zika Outbreak Hits Miami,25.77427,-80.19366,0
1,Could Zika Reach New York City?,40.71427,-74.00596999999999,0
2,First Case of Zika in Miami Beach,25.79065,-80.13005,0
3,Dallas man comes down with case of Zika,32.78306,-96.80667,0
4,Zika Concerns are Spreading in Houston,29.763279999999998,-95.36327,0
5,Brownsville teen contracts Zika virus,25.82176,-80.24116,0
6,Orlando volunteers aid Zika research,28.53834,-81.37924,0
7,Tampa Bay Area Zika Case Count Climbs,27.94752,-82.45843,0
8,Baltimore plans for Zika virus,39.29038,-76.61219,0
9,Key Zika Findings in San Diego Institute,9.89898,-84.00287,0
10,Tallahassee Doctors Discuss Zika Virus,30.438259999999996,-84.28073,0
11,Zika worries in San Salvador,13.68935,-89.18718,0
12,Zika virus reported in Cleveland,35.15952,-84.87661,0
13,More Zika patients reported in Austin,30.26715,-97.74306,0
14,Zika Virus Transmission Detected in Havana,23.133020000000002,-82.38304000000001,0
15,Zika symtomps spotted in Key West,24.555239999999998,-81.78163,0
16,Nashville takes precautions against Zika,36.165890000000005,-86.78444,0
17,Saint Croix under Zika threat,17.727510000000002,-64.74698000000001,0
18,Madison lab developing vaccine against Zika virus [The Wisconsin State Journal],34.699259999999995,-86.74833000000001,0
19,New Zika Case Confirmed in Sarasota County,27.33643,-82.53065,0
20,Jacksonville man hit by Zika,34.8662,-92.11015,0
21,Belize City under threat from Zika,17.49952,-88.19756,0
22,More Zika cases in Soyapango,13.710239999999999,-89.13989000000001,0
23,Zika outbreak spreads to Mexico City,19.42847,-99.12765999999999,0
24,Zika arrives in Tegucigalpa,14.0818,-87.20681,0
25,First Columbus Zika case,32.46098,-84.98770999999999,0
26,"Zika Patient in Seminole, Florida",27.83975,-82.79120999999999,0
27,Can Zika make it here to Vero Beach?,27.638640000000002,-80.39726999999999,0
28,Spring break ruined by Zika in Fort Lauderdale,30.07994,-95.41716,0
29,First Zika Case in Cincinnati,39.127109999999995,-84.51439,0
30,Zika cases concern Charlotte residents,35.227090000000004,-80.84313,0
31,Zika case reported in Jupiter,26.93422,-80.09421,0
32,Zika virus confirmed in Westchester,25.754820000000002,-80.32727,0
33,More Zika patients reported in Pensacola,30.42131,-87.21691,0
34,Outbreak of Zika in Corpus Christi,27.80058,-97.39638000000001,0
35,Outbreak of Zika in Panama City,30.15946,-85.65983,0
36,"Zika in Belmont, Belmont worry",42.39593,-71.17867,0
37,Veracruz hit by Zika Concerns,19.18095,-96.1429,0
38,Is Lafayette prepared to combat Zika?,30.224090000000004,-92.01984,0
39,Zika arrives in San Benito,16.91675,-89.91898,0
40,Zika Arrives in North Miami,25.89009,-80.18670999999999,0
41,Outbreak of Zika in Stephenville,32.2207,-98.20226,0
42,Tests negative on Windsor Zika carriers,42.30008,-83.01654,0
43,Zika battle outlined at Valdosta meeting,30.833340000000003,-83.28031999999999,0
44,Zika case reported in Coral Gables,25.72149,-80.26838000000001,0
45,Zika arrives in West Palm Beach,26.71534,-80.05337,0
46,Zika spreads to Daytona Beach,29.21081,-81.02283,0
47,Zika-carrying mosquitoes discovered in Ardmore,34.17426,-97.14363,0
48,Frisco Woman Tests Positive For Zika Virus,33.15067,-96.82361,0
49,Zika Outbreak in Pinewood,25.86898,-80.21699,0
50,Zika Strikes St. Petersburg,37.22793,-77.40193000000001,0
51,Zika symptoms spotted in Hollywood,26.0112,-80.14949,0
52,Zika arrives in Oaxaca,17.06542,-96.72365,0
53,Zika spreads to Barranquilla,10.968539999999999,-74.78132,0
54,Zika symptoms spotted in Arlington,32.735690000000005,-97.10807,0
55,Zika Spreads to Palm Beach Gardens,26.823390000000003,-80.13865,0
56,Zika case reported in Abilene,32.44874,-99.73314,0
57,Outbreak of Zika in Palm Springs,26.6359,-80.09615,0
58,Zika Outbreak in Weslaco,26.15952,-97.99084,0
59,Zika case confirmed in Lorain,41.45282,-82.18236999999999,0
60,Zika in Tamarac!,26.21286,-80.24977,0
61,Zika only the latest mosquito-borne threat to New Orleans,29.95465,-90.07507,0
62,More Zika patients reported in Waco,31.549329999999998,-97.14667,0
63,Erie County sets Zika traps,42.129220000000004,-80.08506,0
64,Zika symptoms spotted in Quisqueya,18.55542,-69.40814,0
65,More Zika patients reported in Carrollton,33.58011,-85.07661,0
66,Zika symptoms spotted in Bonita Springs,26.339809999999996,-81.7787,0
67,More Zika patients reported in Fort Myers,26.621679999999998,-81.84059,0
68,Zika spreads to Lewisville,33.04623,-96.99417,0
69,Fort Hood Reports its First Zika Patient,31.134890000000002,-97.77561,0
70,Hallandale Beach a Victim of Zika Outbreak,25.9812,-80.14838,0
71,More Zika patients reported in Nuevo Laredo,27.476290000000002,-99.51639,0
72,Zika arrives in Boca Raton,26.358690000000003,-80.0831,0
73,Bradenton Experiences Zika Troubles  ,27.498929999999998,-82.57481999999999,0
74,Zika spreads to Kissimmee,28.304679999999998,-81.41667,0
75,Zika reported in Fort Pierce,27.446709999999996,-80.32561,0
76,Zika spreads to Winter Park,28.6,-81.33924,0
77,Zika virus case reported in Rockland,42.13066,-70.91615999999999,0
78,Zika investigators coming to Mankato,44.15906,-94.00915,0
79,Outbreak of Zika in Leesburg,28.81082,-81.87786,0
80,Stony Brook University experts discuss Zika virus,28.073890000000002,-82.43902,0
81,Miami resident suggests Zika precautions,25.77427,-80.19366,0
82,Zika case reported in Reynosa,26.08061,-98.28835,0
83,More Zika patients reported in Lakeland,28.03947,-81.9498,0
84,Zika Outbreak in South Miami,25.77427,-80.19366,0
85,Zika arrives in Belmopan,17.25,-88.76666999999999,0
86,Zika spreads to Plant City,28.01888,-82.11469,0
87,Zika Reported in North Miami Beach,25.93315,-80.16255,0
88,Zika Reported in Ilopango,13.701670000000002,-89.10944,0
89,Zika Troubles come to Delray Beach,26.46146,-80.07282,0
90,More Zika patients reported in Fort Worth,32.72541,-97.32085,0
91,Zika symptoms spotted in Boynton Beach,26.52535,-80.06643000000001,0
92,Zika Outbreak in Wichita Falls,33.913709999999995,-98.49339,0
93,Zika alert – Manila now threatened,14.6042,120.9822,1
94,Zika afflicts 7 in Iloilo City,10.69694,122.56443999999999,1
95,Zika cases in Vietnam's Ho Chi Minh City surge,10.82302,106.62965,1
96,Thailand-Zika Virus in Bangkok,13.753979999999999,100.50144,1
97,Beijing team cracks Zika secret,39.9075,116.39723000000001,1
98,Kuala Lumpur is Hit By Zika Threat,3.1412,101.68653,1
99,First Zika case confirmed in Yangon,16.80528,96.15611,1
100,"Zika surfaces in Klang, Malaysia",3.03667,101.44333,1
101,More Quezon City Zika Transmissions,14.6488,121.0509,1
102,Pune woman diagnosed with Zika,18.51957,73.85535,1
103,Hospitals in Hanoi fill up with Zika patients,21.0245,105.84116999999999,1
104,Zika: Delhi for strict monitoring,28.65195,77.23149000000001,1
105,Seoul confirms 14th Zika infection,37.566,126.9784,1
106,Zika now spreading through Jakarta,-6.21462,106.84513000000001,1
107,Antipolo under threat from Zika Virus,14.625779999999999,121.12251,1
108,Spreading Zika reaches Bacoor,14.458960000000001,120.93851000000001,1
109,Zika afflicts patient in Calamba,14.211670000000002,121.16528000000001,1
110,Petaling Jaya man ill from Zika,3.1072599999999997,101.60670999999999,1
111,Zika Outbreak in Hyderabad,17.38405,78.45636,1
112,New Delhi Addressing Zika Concerns,28.635759999999998,77.22445,1
113,"New Zika Case in Kota Kinabalu, Malaysia",5.9749,116.0724,1
114,"Zika reaches Johor Bahru, Malaysia",1.4655,103.7578,1
115,Nha Trang Zika Outbreak,12.24507,109.19431999999999,1
116,19 new Zika Cases in Sengkang,-4.1279,120.0297,1
117,Outbreak of Zika in Bacolod City,10.66667,122.95,1
118,Zika cases in Singapore reach 393,1.28967,103.85007,1
119,Zika arrives in Miri,4.39928,113.99163,1
120,More Zika patients reported in Davao,7.073060000000001,125.61278,1
121,Phnom Penh hit by Zika Threat,11.56245,104.91601000000001,1
122,Outbreak of Zika in Pasig City,14.586910000000001,121.0614,1
123,Zika Troubles come to Kampong Cham,11.99339,105.4635,1
124,Zika case reported in Rizal,15.7118,121.1061,1
125,Zika case reported in Phetchabun,16.41904,101.16056,1
126,Zika spreads to Kuching,1.55,110.33333,1
127,Zika arrives in Udon Thani,17.415670000000002,102.78589000000001,1
128,More Zika patients reported in Calumpang,14.6228,121.0897,1
129,Zika Outbreak in Puducherry,11.933810000000001,79.82979,1
130,Outbreak of Zika in Kozhikode,11.24802,75.7804,1
131,Zika symptoms spotted in Sibu,2.3,111.81667,1
132,Zika arrives in Quezon,15.5512,120.8147,1
133,"Sulu, Zamboanga brace for Zika",6.91028,122.07388999999999,1
134,Zika Troubles come to Greater Noida,28.49615,77.53601,1
135,Zika Troubles come to Jaen,15.3275,120.9192,1
136,More Zika patients reported in Chennai,13.08784,80.27847,1
137,More Zika patients reported in Chanthaburi,12.60961,102.10446999999999,1
138,Zika spreads to Kamphaeng Phet,16.483439999999998,99.52153,1
139,More Zika patients reported in Kampong Speu,11.45332,104.52085,1
140,More Zika patients reported in Indang,14.195279999999999,120.87693999999999,1
141,Zika Troubles come to Harlingen,53.174769999999995,5.42244,2
142,Trinidad confirms first Zika case,-14.833329999999998,-64.9,3
143,San Juan reports 1st U.S. Zika-related death amid outbreak,-31.5375,-68.53639,3
144,Zika spreading to Salvador,-12.971110000000001,-38.51083,3
145,Zika Virus Reaches San Francisco,-31.427970000000002,-62.08266,3
146,"Zika outbreak in Piracicaba, Brazil",-22.725279999999998,-47.64917,3
147,Lima tries to address Zika Concerns,-12.04318,-77.02824,3
148,Zika San Antonio Patient Speaks Out,-33.59473,-71.60746,3
149,New Zika Case Confirmed in Belo Horizonte,-19.92083,-43.93778,3
150,Villavicencio under Zika threat,4.1419999999999995,-73.62664000000001,3
151,Two more Zika cases confirmed in Laredo,-8.08965,-78.9602,3
152,Zika alert for Rio Grande Valley residents,-32.035,-52.09861,3
153,Zika symptoms spotted in Colombo,-25.29167,-49.22417,3
154,Zika arrives in Santos,-23.960829999999998,-46.33361,3
155,Zika case recorded in Tunapuna »,10.65245,-61.388780000000004,3
156,Zika symptoms spotted in Bello,6.33732,-75.55795,3
157,"Zika Mosquitoes May Have Bred in Bromeliads, Florida Officials Say",3.3223,-76.2348,3
158,Zika arrives in Natal,-5.795,-35.20944,3
159,Zika Outbreak in Sincelejo,9.30472,-75.39778000000001,3
160,Zika case reported in Jacobina,-11.18143,-40.51372,3
161,Zika symptoms spotted in Fortaleza,-3.7172199999999997,-38.54306,3
162,Zika symptoms spotted in Iquitos,-3.7491199999999996,-73.25383000000001,3
163,Zika Troubles come to La Libertad,-2.233,-80.91039,3
164,Outbreak of Zika in Santa Elena,-30.94432,-59.78832,3
165,Zika spreads to Olinda,-8.00889,-34.85528,3
166,Zika symptoms spotted in Quito,-0.22985,-78.52495,3
167,Zika spreads to San Luis Potosi,-33.29501,-66.33563000000001,3
168,Outbreak of Zika in Colombo,-25.29167,-49.22417,3
169,Zika arrives in San Onofre,9.73586,-75.52626,3
170,Zika case reported in Limoeiro,-7.87472,-35.45028,3
171,More Zika patients reported in Botucatu,-22.88583,-48.445,3
172,Zika Outbreak in Manaus,-3.1019400000000004,-60.025,3
173,Zika spreads to Caucasia,7.98654,-75.19349,3
174,Zika Outbreak in Yurimaguas,-5.90181,-76.12234000000001,3
175,Outbreak of Zika in Portoviejo,-1.0545799999999999,-80.45445,3
176,More Zika patients reported in Bella Vista,-27.034240000000004,-65.30196,3
177,"Seattle scientists get $500,000 grant to pursue Zika vaccine New 7:50 pm",47.60621,-122.33207,4
178,El Paso fighting Zika,31.75872,-106.48693,4
179,Escondido neighborhood to get sprayed for Zika virus,33.119209999999995,-117.08641999999999,4
180,BREAKING – Zika in Missoula,46.87215,-113.994,4
181,Zika Virus Arrives in Ontario,34.063340000000004,-117.65088999999999,4
182,Zika Virus Detected in Lubbock,33.57786,-101.85517,4
183,Zika Virus Sparks 'International Concern',39.534909999999996,-119.75268999999999,4
184,Four cases of Zika in Hidalgo County,25.97205,-100.45029,4
185,Zika seminars in Yuma County,32.72532,-114.6244,4
186,Zika Outbreak in Mexicali,32.62781,-115.45446000000001,4
187,Townsville Zika tests inconclusive,-19.266389999999998,146.80569,6
188,Precautionary Zika measures in Rockhampton,-23.38032,150.50595,6
189,Is Zika virus in Majuro?,7.08971,171.38027,6
190,Zika arrives in Orange City,-33.283970000000004,149.10018,6
191,More Zika patients reported in Melbourne,-37.814,144.96331999999998,6
